email,lead_id,lead_captured_date,lead_type,contact_type,business_type
rafael.cardoso@email.com.br,00Q4P00000wlml8UAA,2020-01-23 22:36:34,Direto,Comprador,Cliente Direto
isabelle.carvalho@email.com.br,00Q4P00000wln4oUAA,2020-01-24 10:49:23,Direto,Comprador,Cliente Direto
matheus.araujo@email.com.br,00Q4P00000wlt3oUAA,2020-01-27 16:39:28,Indireto,Corretor,Corretor Autônomo
julia.alves@email.com.br,00Q4P00000wlugaUAA,2020-01-28 13:27:08,Indireto,Corretor,Outros
samuel.pereira@email.com.br,00Q4P00000wlvfsUAA,2020-01-28 19:11:41,Indireto,Corretor,Corretor Autônomo
emily.pereira@email.com.br,00Q4P000010MNbIUAW,2020-01-30 20:56:22,Direto,Comprador,Cliente Direto
isabella.costa@email.com.br,00Q4P000010MPwmUAG,2020-01-31 18:23:29,Direto,Comprador,Cliente Direto
vinícius.cunha@email.com.br,00Q4P000010MQzLUAW,2020-02-01 21:12:33,Direto,Comprador,Cliente Direto
carla.silva@email.com.br,00Q4P000010MSi5UAG,2020-02-03 11:21:33,Indireto,Corretor,Corretor Autônomo
fábio.almeida@email.com.br,00Q4P000010MUGYUA4,2020-02-04 7:32:17,Direto,Comprador,Cliente Direto
gabriela.araujo@email.com.br,00Q4P000010MUOmUAO,2020-02-04 9:51:54,Direto,Comprador,Cliente Direto
isabelle.melo@email.com.br,00Q4P000010MV3QUAW,2020-02-04 14:46:49,Indireto,Corretor,Corretor Autônomo
diego.azevedo@email.com.br,00Q4P000010MW1lUAG,2020-02-05 9:02:38,Direto,Comprador,Cliente Direto
kauê.carvalho@email.com.br,00Q4P000010MYKKUA4,2020-02-06 14:36:54,Direto,Comprador,Cliente Direto
vitór.cunha@email.com.br,00Q4P000010MZBiUAO,2020-02-06 18:31:37,Direto,Comprador,Cliente Direto
carlos.barbosa@email.com.br,00Q4P000010MZglUAG,2020-02-07 9:00:26,Indireto,Corretor,Corretor Autônomo
sarah.correia@email.com.br,00Q4P000010MaPCUA0,2020-02-07 15:04:41,Direto,Comprador,Cliente Direto
kai.alves@email.com.br,00Q4P000010McupUAC,2020-02-09 15:23:01,Direto,Comprador,Cliente Direto
leila.silva@email.com.br,00Q4P000010MdjIUAS,2020-02-10 11:46:54,Direto,Comprador,Cliente Direto
eduarda.santos@email.com.br,00Q4P000010MeWKUA0,2020-02-10 17:16:55,Direto,Comprador,Cliente Direto
kaua.barbosa@email.com.br,00Q4P000010MfDPUA0,2020-02-11 9:09:59,Direto,Comprador,Cliente Direto
bianca.fernandes@email.com.br,00Q4P000010Mg38UAC,2020-02-11 15:18:00,Direto,Comprador,Cliente Direto
miguel.araujo@email.com.br,00Q4P000010Mge2UAC,2020-02-11 20:15:28,Direto,Comprador,Cliente Direto
matheus.sousa@email.com.br,00Q4P000010MgnxUAC,2020-02-11 22:45:27,Direto,Comprador,Cliente Direto
brenda.dias@email.com.br,00Q4P000010MicdUAC,2020-02-12 21:22:01,Direto,Comprador,Cliente Direto
isabella.cunha@email.com.br,00Q4P000010MigzUAC,2020-02-12 22:15:55,Direto,Comprador,Cliente Direto
isabelle.cardoso@email.com.br,00Q4P000010MisbUAC,2020-02-13 6:16:08,Direto,Comprador,Cliente Direto
tânia.ferreira@email.com.br,00Q4P000010MiwTUAS,2020-02-13 8:30:28,Indireto,Corretor,Imobiliária Pequena
matilde.rocha@email.com.br,00Q4P000010MkpdUAC,2020-02-13 15:04:54,Direto,Comprador,Cliente Direto
camila.costa@email.com.br,00Q4P000010Mm22UAC,2020-02-14 8:09:19,Direto,Comprador,Cliente Direto
danilo.santos@email.com.br,00Q4P000010Mo7gUAC,2020-02-14 20:53:23,Direto,Comprador,Cliente Direto
nicolas.castro@email.com.br,00Q4P000010MoNKUA0,2020-02-15 8:39:02,Direto,Comprador,Cliente Direto
luana.silva@email.com.br,00Q4P000010MomeUAC,2020-02-15 20:04:54,Direto,Comprador,Cliente Direto
breno.ferreira@email.com.br,00Q4P000010MozJUAS,2020-02-16 10:35:36,Direto,Comprador,Cliente Direto
martim.castro@email.com.br,00Q4P000010MpAlUAK,2020-02-16 16:06:25,Direto,Comprador,Cliente Direto
cauã.ferreira@email.com.br,00Q4P000010MpMmUAK,2020-02-16 20:45:38,Direto,Comprador,Cliente Direto
brenda.dias@email.com.br,00Q4P000010MpbDUAS,2020-02-17 8:25:38,Direto,Comprador,Cliente Direto
gabrielle.cavalcanti@email.com.br,00Q4P000010MtSOUA0,2020-02-18 15:52:59,Direto,Comprador,Cliente Direto
marisa.cardoso@email.com.br,00Q4P000010MtlaUAC,2020-02-18 18:23:27,Direto,Comprador,Cliente Direto
kauê.alves@email.com.br,00Q4P000010MtsMUAS,2020-02-18 19:31:44,Direto,Comprador,Cliente Direto
vitória.barbosa@email.com.br,00Q4P000010MufsUAC,2020-02-19 11:50:35,Direto,Comprador,Cliente Direto
matilde.martins@email.com.br,00Q4P000010N4UrUAK,2020-02-26 8:35:55,Direto,Comprador,Cliente Direto
ágatha.costa@email.com.br,00Q4P000010N93vUAC,2020-02-26 17:44:21,Direto,Comprador,Cliente Direto
lara.cunha@email.com.br,00Q4P000010N9SXUA0,2020-02-26 21:31:27,Direto,Comprador,Cliente Direto
júlia.rodrigues@email.com.br,00Q4P000010NCNcUAO,2020-02-27 13:23:02,Indireto,Corretor,Imobiliária Pequena
paulo.gomes@email.com.br,00Q4P000010NDe5UAG,2020-02-28 10:14:30,Direto,Comprador,Cliente Direto
davi.ferreira@email.com.br,00Q4P000010NDg6UAG,2020-02-28 10:15:36,Direto,Comprador,Cliente Direto
matilde.goncalves@email.com.br,00Q4P000010NHwRUAW,2020-03-02 13:57:48,Direto,Comprador,Cliente Direto
evelyn.pinto@email.com.br,00Q4P000010NHySUAW,2020-03-02 14:19:44,Direto,Comprador,Cliente Direto
emilly.sousa@email.com.br,00Q4P000010NIEfUAO,2020-03-02 15:03:36,Direto,Comprador,Cliente Direto
letícia.costa@email.com.br,00Q4P000010NIoHUAW,2020-03-02 17:28:50,Direto,Comprador,Cliente Direto
eduarda.ribeiro@email.com.br,00Q4P000010NJowUAG,2020-03-03 8:02:45,Direto,Comprador,Cliente Direto
sarah.souza@email.com.br,00Q4P000010NLFrUAO,2020-03-03 19:05:05,Direto,Comprador,Cliente Direto
caio.oliveira@email.com.br,00Q4P000010NOOMUA4,2020-03-05 9:39:49,Direto,Comprador,Cliente Direto
bruna.carvalho@email.com.br,00Q4P000010NPKuUAO,2020-03-05 16:39:14,Indireto,Corretor,Outros
bruno.pinto@email.com.br,00Q4P000010NQZMUA4,2020-03-06 11:28:21,Indireto,Corretor,Corretor Autônomo
andré.martins@email.com.br,00Q4P000010NRHTUA4,2020-03-06 17:04:43,Indireto,Corretor,Corretor Autônomo
isabela.gomes@email.com.br,00Q4P000010NSiUUAW,2020-03-07 18:45:52,Direto,Comprador,Cliente Direto
larissa.castro@email.com.br,00Q4P000010NUtDUAW,2020-03-09 16:33:11,Direto,Comprador,Cliente Direto
gabrielly.goncalves@email.com.br,00Q4P000010NWJVUA4,2020-03-09 20:35:32,Direto,Comprador,Cliente Direto
marisa.fernandes@email.com.br,00Q4P000010NWU8UAO,2020-03-09 23:00:51,Direto,Comprador,Cliente Direto
daniel.barbosa@email.com.br,00Q4P000010NYw9UAG,2020-03-10 18:22:47,Direto,Comprador,Cliente Direto
martim.rodrigues@email.com.br,00Q4P000010NZG4UAO,2020-03-10 19:14:16,Direto,Comprador,Cliente Direto
giovanna.gomes@email.com.br,00Q4P000010NcI9UAK,2020-03-12 16:41:46,Direto,Comprador,Cliente Direto
joao.silva@email.com.br,00Q4P000010NcdHUAS,2020-03-12 20:12:05,Direto,Comprador,Cliente Direto
alex.araujo@email.com.br,00Q4P000010NeI2UAK,2020-03-13 19:03:45,Direto,Comprador,Cliente Direto
matheus.gomes@email.com.br,00Q4P000010NfjTUAS,2020-03-15 13:13:10,Direto,Comprador,Cliente Direto
vitoria.alves@email.com.br,00Q4P000010Njh3UAC,2020-03-17 10:28:50,Direto,Comprador,Cliente Direto
tânia.fernandes@email.com.br,00Q4P000010NkGwUAK,2020-03-17 15:48:10,Direto,Comprador,Cliente Direto
tânia.barbosa@email.com.br,00Q4P000010NkQIUA0,2020-03-17 17:06:38,Indireto,Corretor,Corretor Autônomo
thaís.almeida@email.com.br,00Q4P000010NrXwUAK,2020-03-23 10:23:57,Direto,Comprador,Cliente Direto
laura.rodrigues@email.com.br,00Q4P000010NrdzUAC,2020-03-23 11:54:58,Direto,Comprador,Cliente Direto
antônio.castro@email.com.br,00Q4P000010NrmrUAC,2020-03-23 13:28:17,Direto,Comprador,Cliente Direto
vinicius.pereira@email.com.br,00Q4P000010O1N9UAK,2020-03-26 0:16:05,Direto,Comprador,Cliente Direto
ágatha.barbosa@email.com.br,00Q4P000010O2VmUAK,2020-03-26 19:34:05,Direto,Comprador,Cliente Direto
davi.correia@email.com.br,00Q4P000010O4stUAC,2020-03-27 21:37:56,Direto,Comprador,Cliente Direto
emilly.cardoso@email.com.br,00Q4P000010O4uzUAC,2020-03-27 22:31:43,Direto,Comprador,Cliente Direto
clara.gomes@email.com.br,00Q4P000010O5nuUAC,2020-03-29 13:51:47,Direto,Comprador,Cliente Direto
júlia.oliveira@email.com.br,00Q4P000010O63dUAC,2020-03-29 21:00:20,Direto,Comprador,Cliente Direto
matilde.dias@email.com.br,00Q4P000010OAj7UAG,2020-04-01 17:04:07,Direto,Comprador,Cliente Direto
samuel.souza@email.com.br,00Q4P000010OAroUAG,2020-04-01 18:30:18,Direto,Comprador,Cliente Direto
gabriela.correia@email.com.br,00Q4P000010OAuOUAW,2020-04-01 19:27:57,Direto,Comprador,Cliente Direto
marcos.costa@email.com.br,00Q4P000010OCAiUAO,2020-04-02 21:21:40,Direto,Comprador,Cliente Direto
kauê.ribeiro@email.com.br,00Q4P000010ONKpUAO,2020-04-05 11:01:38,Direto,Comprador,Cliente Direto
raissa.souza@email.com.br,00Q4P000010OPr5UAG,2020-04-05 17:12:56,Direto,Comprador,Cliente Direto
leonor.correia@email.com.br,00Q4P000010ORNMUA4,2020-04-06 20:09:56,Direto,Comprador,Cliente Direto
alex.santos@email.com.br,00Q4P000010ORXHUA4,2020-04-06 20:15:51,Direto,Comprador,Cliente Direto
vitória.almeida@email.com.br,00Q4P000010ORyNUAW,2020-04-07 1:39:06,Direto,Comprador,Cliente Direto
luiz.lima@email.com.br,00Q4P000010OS0nUAG,2020-04-07 6:38:12,Direto,Comprador,Cliente Direto
thiago.rocha@email.com.br,00Q4P000010OZWtUAO,2020-04-11 21:24:15,Direto,Comprador,Cliente Direto
vitória.dias@email.com.br,00Q4P000010OdQwUAK,2020-04-13 16:47:50,Direto,Comprador,Cliente Direto
matilde.rodrigues@email.com.br,00Q4P000010OdVqUAK,2020-04-13 17:06:15,Direto,Comprador,Cliente Direto
martim.rocha@email.com.br,00Q4P000010Oe6PUAS,2020-04-13 21:32:55,Direto,Comprador,Cliente Direto
laura.almeida@email.com.br,00Q4P000010OhZrUAK,2020-04-15 11:56:43,Direto,Comprador,Cliente Direto
thiago.melo@email.com.br,00Q4P000010Ok0aUAC,2020-04-15 17:43:52,Direto,Comprador,Cliente Direto
victor.cunha@email.com.br,00Q4P000010OssPUAS,2020-04-20 1:17:18,Direto,Comprador,Cliente Direto
raissa.costa@email.com.br,00Q4P000010Ow9SUAS,2020-04-21 0:52:34,Direto,Comprador,Cliente Direto
lavinia.ribeiro@email.com.br,00Q4P000010OxeAUAS,2020-04-21 17:28:13,Direto,Comprador,Cliente Direto
ágatha.castro@email.com.br,00Q4P000010OyOwUAK,2020-04-21 23:34:00,Direto,Comprador,Cliente Direto
emily.rocha@email.com.br,00Q4P000010PGOwUAO,2020-04-28 17:06:16,Direto,Comprador,Cliente Direto
matilde.souza@email.com.br,1012,2019-01-03 19:46:24,Direto,Comprador,Cliente Direto
isabella.fernandes@email.com.br,10179,2019-09-25 13:05:36,Indireto,Corretor,Permuta Imobiliária
tomás.cunha@email.com.br,10251,2019-09-25 14:07:36,Direto,Comprador,Cliente Direto
melissa.melo@email.com.br,10449,2019-09-27 11:20:20,Direto,Comprador,Cliente Direto
luiza.pereira@email.com.br,10791,2019-10-01 18:35:37,Direto,Comprador,Permuta Direto
vitór.araujo@email.com.br,11427,2019-10-09 9:32:43,Indireto,Corretor,Permuta Imobiliária
mariana.correia@email.com.br,11492,2019-10-09 15:35:33,Indireto,Corretor,Corretor Autônomo
davi.correia@email.com.br,11582,2019-10-10 12:39:14,Direto,Comprador,Cliente Direto
carolina.sousa@email.com.br,11689,2019-10-11 10:07:07,Indireto,Corretor,Imobiliária Pequena
evelyn.goncalves@email.com.br,11813,2019-10-11 21:38:42,Direto,Comprador,Cliente Direto
davi.correia@email.com.br,11834,2019-10-13 8:16:50,Direto,Comprador,Cliente Direto
carolina.goncalves@email.com.br,11998,2019-10-14 14:58:18,Direto,Comprador,Permuta Direto
davi.rocha@email.com.br,1215,2019-01-29 17:18:10,Indireto,Corretor,Imobiliária Pequena
clara.goncalves@email.com.br,12176,2019-10-15 17:29:37,Indireto,Corretor,Imobiliária Grande
letícia.pereira@email.com.br,12285,2019-10-16 17:59:47,Indireto,Corretor,Permuta Imobiliária
davi.cavalcanti@email.com.br,12566,2019-10-21 14:16:10,Direto,Comprador,Cliente Direto
murilo.goncalves@email.com.br,12797,2019-10-22 16:04:48,Indireto,Corretor,Corretor Autônomo
diogo.martins@email.com.br,1314,2019-02-11 13:34:53,Indireto,Corretor,Imobiliária Grande
marisa.oliveira@email.com.br,13441,2019-10-29 10:19:24,Direto,Comprador,Cliente Direto
maria.melo@email.com.br,14476,2019-11-05 23:45:34,Direto,Comprador,Cliente Direto
josé.castro@email.com.br,14545,2019-11-06 14:17:19,Direto,Comprador,Cliente Direto
brenda.azevedo@email.com.br,14582,2019-11-06 17:03:45,Direto,Comprador,Cliente Direto
marina.castro@email.com.br,1556,2019-03-01 11:03:04,Direto,Comprador,Cliente Direto
fernanda.alves@email.com.br,1569,2019-03-04 20:57:59,Direto,Comprador,Cliente Direto
josé.castro@email.com.br,16284,2019-11-19 14:08:16,Direto,Comprador,Permuta Direto
felipe.cavalcanti@email.com.br,16573,2019-11-21 12:30:41,Indireto,Corretor,Corretor Autônomo
laura.ferreira@email.com.br,17251,2019-11-25 22:14:02,Direto,Comprador,Cliente Direto
joao.cunha@email.com.br,17755,2019-11-28 9:49:13,Indireto,Corretor,MGM
joao.azevedo@email.com.br,17976,2019-11-29 16:04:08,Indireto,Corretor,Imobiliária Grande
giovanna.costa@email.com.br,18064,2019-11-30 17:29:42,Direto,Comprador,Cliente Direto
anna.pinto@email.com.br,18179,2019-12-02 1:52:21,Direto,Comprador,Cliente Direto
thaís.cavalcanti@email.com.br,18929,2019-12-06 7:05:08,Direto,Comprador,Cliente Direto
carla.goncalves@email.com.br,19121,2019-12-06 22:36:52,Direto,Comprador,Cliente Direto
larissa.melo@email.com.br,19712,2019-12-10 11:58:59,Direto,Comprador,Cliente Direto
bianca.fernandes@email.com.br,19799,2019-12-10 15:40:52,Direto,Comprador,Cliente Direto
isabelle.rocha@email.com.br,19951,2019-12-10 23:17:02,Direto,Comprador,B2B
fernanda.almeida@email.com.br,20078,2019-12-11 11:24:45,Direto,Comprador,Cliente Direto
vitor.cardoso@email.com.br,20261,2019-12-11 23:08:25,Direto,Comprador,Cliente Direto
rodrigo.sousa@email.com.br,20481,2019-12-12 16:45:54,Direto,Comprador,Cliente Direto
vitoria.goncalves@email.com.br,20842,2019-12-13 21:01:55,Direto,Comprador,Cliente Direto
marina.santos@email.com.br,21108,2019-12-16 7:13:10,Direto,Comprador,Cliente Direto
josé.castro@email.com.br,21177,2019-12-16 12:01:00,Direto,Comprador,Cliente Direto
julieta.barros@email.com.br,2759,2019-05-01 10:04:41,Direto,Comprador,Cliente Direto
luana.goncalves@email.com.br,2943,2019-05-04 19:56:44,Direto,Comprador,Cliente Direto
letícia.lima@email.com.br,3346,2019-05-08 14:10:12,Indireto,Corretor,Imobiliária Pequena
alex.santos@email.com.br,3386,2019-05-09 15:58:57,Indireto,Corretor,Imobiliária Grande
lavinia.fernandes@email.com.br,4015,2019-05-24 18:17:56,Direto,Comprador,Cliente Direto
davi.cunha@email.com.br,4024,2019-05-25 11:50:34,Direto,Comprador,Cliente Direto
ana.barros@email.com.br,406,2018-10-29 19:55:09,Direto,Comprador,Cliente Direto
eduarda.castro@email.com.br,432,2018-11-05 11:55:23,Direto,Comprador,Cliente Direto
beatrice.cavalcanti@email.com.br,4478,2019-06-03 12:32:47,Direto,Comprador,Cliente Direto
camila.almeida@email.com.br,4823,2019-06-10 15:09:53,Direto,Comprador,Cliente Direto
nicolash.pereira@email.com.br,6023,2019-07-08 12:45:31,Direto,Comprador,Cliente Direto
gustavo.santos@email.com.br,6038,2019-07-08 14:49:42,Direto,Comprador,Cliente Direto
eduardo.rocha@email.com.br,6109,2019-07-10 11:30:05,Direto,Comprador,Cliente Direto
ana.gomes@email.com.br,6125,2019-07-10 13:34:43,Direto,Comprador,Cliente Direto
luan.pereira@email.com.br,6208,2019-07-11 11:15:30,Indireto,Corretor,Imobiliária Pequena
ana.castro@email.com.br,6319,2019-07-12 15:50:43,Indireto,Corretor,Imobiliária Grande
maria.correia@email.com.br,00Q4P00000wkrCmUAI,2019-12-18 11:17:06,Indireto,Corretor,Corretor Autônomo
nicole.goncalves@email.com.br,00Q4P00000wktPIUAY,2019-12-19 18:19:43,Indireto,Corretor,Corretor Autônomo
samuel.santos@email.com.br,00Q4P00000wl1tTUAQ,2020-01-03 13:23:01,Direto,Comprador,Cliente Direto
luis.correia@email.com.br,00Q4P00000wl2JQUAY,2020-01-03 17:49:08,Direto,Comprador,Cliente Direto
douglas.martins@email.com.br,00Q4P00000wl34MUAQ,2020-01-05 11:03:23,Direto,Comprador,Cliente Direto
vitória.carvalho@email.com.br,00Q4P00000wl3XnUAI,2020-01-06 10:28:13,Direto,Comprador,Cliente Direto
amanda.dias@email.com.br,00Q4P00000wl4u2UAA,2020-01-06 17:14:05,Direto,Comprador,Cliente Direto
matilde.melo@email.com.br,00Q4P00000wl74MUAQ,2020-01-07 21:22:04,Direto,Comprador,Cliente Direto
aline.araujo@email.com.br,00Q4P00000wl74lUAA,2020-01-07 21:30:31,Direto,Comprador,Cliente Direto
julia.goncalves@email.com.br,00Q4P00000wl7AjUAI,2020-01-08 1:10:03,Direto,Comprador,Cliente Direto
vitória.gomes@email.com.br,00Q4P00000wlHIZUA2,2020-01-09 15:20:21,Indireto,Corretor,Imobiliária Pequena
sarah.melo@email.com.br,00Q4P00000wlIuDUAU,2020-01-10 16:03:36,Direto,Comprador,Cliente Direto
luiz.ferreira@email.com.br,00Q4P00000wlPXoUAM,2020-01-12 17:20:06,Direto,Comprador,Cliente Direto
beatriz.araujo@email.com.br,00Q4P00000wlQ3kUAE,2020-01-13 12:02:25,Direto,Comprador,Cliente Direto
miguel.almeida@email.com.br,00Q4P00000wlR71UAE,2020-01-13 20:16:05,Direto,Comprador,Cliente Direto
julia.fernandes@email.com.br,00Q4P00000wlRFeUAM,2020-01-13 22:28:55,Direto,Comprador,Cliente Direto
kai.goncalves@email.com.br,00Q4P00000wlRPeUAM,2020-01-14 9:07:37,Direto,Comprador,Cliente Direto
tânia.sousa@email.com.br,00Q4P00000wlRcYUAU,2020-01-14 11:45:48,Indireto,Corretor,Corretor Autônomo
isabelle.rocha@email.com.br,00Q4P00000wlW4nUAE,2020-01-16 20:24:23,Direto,Comprador,Cliente Direto
luiza.silva@email.com.br,00Q4P00000wlWMKUA2,2020-01-16 21:30:06,Direto,Comprador,Cliente Direto
evelyn.martins@email.com.br,00Q4P00000wlbeoUAA,2020-01-19 13:13:32,Direto,Comprador,Cliente Direto
alice.lima@email.com.br,00Q4P00000wlbfwUAA,2020-01-19 13:26:36,Direto,Comprador,Cliente Direto
matilde.lima@email.com.br,00Q4P00000wldcVUAQ,2020-01-20 15:26:31,Direto,Comprador,Cliente Direto
evelyn.sousa@email.com.br,00Q4P00000wlgq2UAA,2020-01-21 12:37:01,Direto,Comprador,Cliente Direto
carolina.rocha@email.com.br,00Q4P00000wlhUKUAY,2020-01-21 17:09:45,Direto,Comprador,Cliente Direto
cauã.ferreira@email.com.br,00Q4P00000wlhVmUAI,2020-01-21 17:17:31,Direto,Comprador,Cliente Direto
gabriel.barbosa@email.com.br,00Q4P00000wljB6UAI,2020-01-22 16:13:08,Direto,Comprador,Cliente Direto
sofia.alves@email.com.br,00Q4P00000wlp2LUAQ,2020-01-25 1:10:39,Direto,Comprador,Cliente Direto
julieta.almeida@email.com.br,00Q4P00000wlwJsUAI,2020-01-29 9:52:07,Direto,Comprador,Cliente Direto
rafael.barros@email.com.br,00Q4P00000wlwP7UAI,2020-01-29 10:36:19,Indireto,Corretor,Imobiliária Grande
carla.souza@email.com.br,00Q4P000010MM4IUAW,2020-01-29 23:54:07,Direto,Comprador,Cliente Direto
eduarda.santos@email.com.br,00Q4P000010MNT9UAO,2020-01-30 19:02:45,Indireto,Corretor,Imobiliária Pequena
guilherme.carvalho@email.com.br,00Q4P000010MTSBUA4,2020-02-03 16:32:37,Direto,Comprador,Cliente Direto
lara.lima@email.com.br,00Q4P000010MVw7UAG,2020-02-05 3:45:13,Direto,Comprador,Cliente Direto
bruno.rodrigues@email.com.br,00Q4P000010MXUtUAO,2020-02-06 8:59:17,Direto,Comprador,Cliente Direto
fernanda.araujo@email.com.br,00Q4P000010MXWpUAO,2020-02-06 9:32:12,Direto,Comprador,Cliente Direto
diogo.costa@email.com.br,00Q4P000010Ma3QUAS,2020-02-07 13:25:56,Direto,Comprador,Cliente Direto
alice.ferreira@email.com.br,00Q4P000010Ma5HUAS,2020-02-07 13:37:33,Direto,Comprador,Cliente Direto
mariana.azevedo@email.com.br,00Q4P000010MbERUA0,2020-02-07 18:33:31,Direto,Comprador,Cliente Direto
diego.goncalves@email.com.br,00Q4P000010MeyAUAS,2020-02-10 22:15:37,Direto,Comprador,Cliente Direto
diego.alves@email.com.br,00Q4P000010Mf8UUAS,2020-02-11 7:18:15,Direto,Comprador,Cliente Direto
bianca.melo@email.com.br,00Q4P000010MfHWUA0,2020-02-11 9:43:30,Indireto,Corretor,Imobiliária Pequena
isabelle.santos@email.com.br,00Q4P000010MfihUAC,2020-02-11 13:50:28,Indireto,Corretor,Corretor Autônomo
martim.sousa@email.com.br,00Q4P000010MiIiUAK,2020-02-12 18:19:11,Direto,Comprador,Cliente Direto
rebeca.sousa@email.com.br,00Q4P000010MinvUAC,2020-02-13 0:52:19,Direto,Comprador,Cliente Direto
lavinia.martins@email.com.br,00Q4P000010MkcpUAC,2020-02-13 14:08:39,Direto,Comprador,Cliente Direto
ágatha.costa@email.com.br,00Q4P000010MmC2UAK,2020-02-14 10:43:33,Direto,Comprador,Cliente Direto
amanda.ribeiro@email.com.br,00Q4P000010MoOXUA0,2020-02-15 9:09:00,Direto,Comprador,Cliente Direto
mariana.barbosa@email.com.br,00Q4P000010MoYNUA0,2020-02-15 12:37:28,Direto,Comprador,Cliente Direto
mariana.santos@email.com.br,00Q4P000010MopYUAS,2020-02-15 21:41:03,Direto,Comprador,Cliente Direto
cauã.araujo@email.com.br,00Q4P000010Mp1ZUAS,2020-02-16 11:52:41,Direto,Comprador,Cliente Direto
marina.rodrigues@email.com.br,00Q4P000010MrhpUAC,2020-02-17 16:52:00,Direto,Comprador,Cliente Direto
júlia.carvalho@email.com.br,00Q4P000010MrrfUAC,2020-02-17 18:14:02,Indireto,Corretor,Imobiliária Pequena
vinicius.alves@email.com.br,00Q4P000010MsVzUAK,2020-02-18 8:22:25,Direto,Comprador,Cliente Direto
julia.carvalho@email.com.br,00Q4P000010MtNnUAK,2020-02-18 15:13:00,Direto,Comprador,Cliente Direto
thiago.martins@email.com.br,00Q4P000010MtnWUAS,2020-02-18 18:41:40,Direto,Comprador,Cliente Direto
fernanda.ferreira@email.com.br,00Q4P000010Mu9SUAS,2020-02-18 22:49:06,Direto,Comprador,Cliente Direto
luana.pereira@email.com.br,00Q4P000010Mw73UAC,2020-02-19 19:18:28,Indireto,Corretor,Imobiliária Pequena
